Category,Description,LogP,Log(q-value),#GeneInGOAndHitList,#GeneInHitList,Hits,CategoryID,GO,Enrichment,FDR,Significant_FDR_0_05,GeneID,LogQ,Count,HitListN,GeneRatio,MinusLog10FDR
GO Biological Processes,circulatory system development,-23,-19,29,116,ACTC1|ACVR2B|CASP8|CAV1|CTNNB1|CTNND1|EDN1|ENG|FBN1|MTOR|GJA1|KCNQ1|KDR|SMAD4|NOTCH1|SERPINE1|PIK3CA|PKD2|PTK2|PTPN11|SLC8A1|TGFBR1|TSC2|VEGFA|EIF2AK3|MATR3|EMILIN1|NPHP3|CHD7,19,GO:0072359,12,1e-19,TRUE,70|93|841|857|1499|1500|1906|2022|2200|2475|2697|3784|3791|4089|4851|5054|5290|5311|5747|5781|6546|7046|7249|7422|9451|9782|11117|27031|55636,-19,29,116,0.25,19
GO Biological Processes,negative regulation of intracellular signal transduction,-20,-17,29,116,AARS1|APOE|CASP8|CAV1|CTNNB1|CTNND1|DRD3|DYRK1A|EDN1|ENG|ESR1|IL10|SMAD4|NONO|PIK3R2|PPARG|MAP2K1|PTGS2|SLC8A1|SMARCA4|TNFAIP3|TSC1|TSC2|VCP|VEGFA|MFN2|STAMBP|EMILIN1|TBK1,19,GO:1902532,10,1e-17,TRUE,16|348|841|857|1499|1500|1814|1859|1906|2022|2099|3586|4089|4841|5296|5468|5604|5743|6546|6597|7128|7248|7249|7415|7422|9927|10617|11117|29110,-17,29,116,0.25,17
GO Biological Processes,heart development,-20,-17,23,116,ACTC1|CASP8|CTNNB1|EDN1|ENG|FBN1|MTOR|GJA1|KCNQ1|KDR|SMAD4|NOTCH1|PKD2|PTK2|PTPN11|SLC8A1|TGFBR1|TSC2|VEGFA|MATR3|EMILIN1|NPHP3|CHD7,19,GO:0007507,15,1e-17,TRUE,70|841|1499|1906|2022|2200|2475|2697|3784|3791|4089|4851|5311|5747|5781|6546|7046|7249|7422|9782|11117|27031|55636,-17,23,116,0.19827586206896552,17
GO Biological Processes,positive regulation of cell differentiation,-20,-17,29,116,ACTB|ACVR2B|APOB|APP|CASP8|CTNNB1|EDN1|ENG|FBN2|FGFR1|MTOR|GJA1|IL6|IL10|KDR|LIMK1|SMAD4|MAPT|NOTCH1|SERPINE1|PPARG|PTGS2|PTK2|SMARCA4|TGFBR1|VEGFA|PIEZO1|ZEB2|ADNP,19,GO:0045597,9.8,1e-17,TRUE,60|93|338|351|841|1499|1906|2022|2201|2260|2475|2697|3569|3586|3791|3984|4089|4137|4851|5054|5468|5743|5747|6597|7046|7422|9780|9839|23394,-17,29,116,0.25,17
GO Biological Processes,cellular response to nitrogen compound,-20,-17,26,116,ACTB|APP|CAV1|CPS1|CTNNB1|ACE|DRD3|EDN1|FBN1|MTOR|GJA1|GNA11|GNAQ|HRAS|IRS1|KCNQ1|NONO|PIK3CA|PIK3R2|PKD2|PPARG|MAPK1|PTK2|RAF1|SLC8A1|CAPN10,19,GO:1901699,12,1e-17,TRUE,60|351|857|1373|1499|1636|1814|1906|2200|2475|2697|2767|2776|3265|3667|3784|4841|5290|5296|5311|5468|5594|5747|5894|6546|11132,-17,26,116,0.22413793103448276,17
GO Biological Processes,blood circulation,-19,-16,22,116,ACTC1|APOE|CAV1|CPS1|ACE|DRD3|EDN1|ENG|F5|FBN1|GJA1|GNA11|GPX1|KCNQ1|PIK3CA|PPARG|MAP2K1|PTGS2|PTPN11|SLC8A1|VEGFA|EMILIN1,19,GO:0008015,16,1e-16,TRUE,70|348|857|1373|1636|1814|1906|2022|2153|2200|2697|2767|2876|3784|5290|5468|5604|5743|5781|6546|7422|11117,-16,22,116,0.1896551724137931,16
GO Biological Processes,response to hormone,-18,-15,27,116,APP|CAV1|CPS1|ACE|EDN1|ESR1|FBN1|MTOR|GNAQ|GPX1|NR3C1|HRAS|IL6|IL10|IRS1|KCNQ1|NONO|NOTCH1|PIK3CA|PIK3R2|PPARG|MAPK1|MAP2K1|PTK2|RAF1|TSC1|CAPN10,19,GO:0009725,9.4,1e-15,TRUE,351|857|1373|1636|1906|2099|2200|2475|2776|2876|2908|3265|3569|3586|3667|3784|4841|4851|5290|5296|5468|5594|5604|5747|5894|7248|11132,-15,27,116,0.23275862068965517,15
GO Biological Processes,response to growth factor,-17,-14,22,116,ACVR2B|APP|CPS1|CTNNB1|EDN1|ENG|FBN1|FGFR1|NR3C1|KDR|SMAD4|MAPT|NOTCH1|PIK3CA|PPARG|MAPK1|PTK2|PTPN11|TGFBR1|VEGFA|FGFRL1|KIDINS220,19,GO:0070848,13,1e-14,TRUE,93|351|1373|1499|1906|2022|2200|2260|2908|3791|4089|4137|4851|5290|5468|5594|5747|5781|7046|7422|53834|57498,-14,22,116,0.1896551724137931,14
GO Biological Processes,circulatory system process,-17,-14,22,116,ACTC1|APOE|CAV1|CPS1|ACE|DRD3|EDN1|ENG|F5|FBN1|GJA1|GNA11|GPX1|KCNQ1|PIK3CA|PPARG|MAP2K1|PTGS2|PTPN11|SLC8A1|VEGFA|EMILIN1,19,GO:0003013,13,1e-14,TRUE,70|348|857|1373|1636|1814|1906|2022|2153|2200|2697|2767|2876|3784|5290|5468|5604|5743|5781|6546|7422|11117,-14,22,116,0.1896551724137931,14
GO Biological Processes,cellular response to growth factor stimulus,-17,-14,21,116,ACVR2B|APP|CPS1|CTNNB1|EDN1|ENG|FBN1|FGFR1|NR3C1|KDR|SMAD4|MAPT|NOTCH1|PIK3CA|PPARG|PTK2|PTPN11|TGFBR1|VEGFA|FGFRL1|KIDINS220,19,GO:0071363,13,1e-14,TRUE,93|351|1373|1499|1906|2022|2200|2260|2908|3791|4089|4137|4851|5290|5468|5747|5781|7046|7422|53834|57498,-14,21,116,0.1810344827586207,14
GO Biological Processes,enzyme-linked receptor protein signaling pathway,-17,-14,23,116,ACVR2B|CSF1R|CTNNB1|ENG|EFEMP1|FGFR1|HRAS|IRS1|KDR|SMAD4|MET|PIK3CA|PIK3R2|PPARG|MAPK1|MAP2K1|PTK2|PTPN11|RAF1|TGFBR1|VEGFA|EIF2AK3|FGFRL1,19,GO:0007167,11,1e-14,TRUE,93|1436|1499|2022|2202|2260|3265|3667|3791|4089|4233|5290|5296|5468|5594|5604|5747|5781|5894|7046|7422|9451|53834,-14,23,116,0.19827586206896552,14
GO Biological Processes,response to peptide hormone,-16,-13,19,116,CAV1|CPS1|ACE|EDN1|FBN1|MTOR|HRAS|IL10|IRS1|KCNQ1|NONO|PIK3CA|PIK3R2|PPARG|MAPK1|PTK2|RAF1|TSC1|CAPN10,19,GO:0043434,13,1e-13,TRUE,857|1373|1636|1906|2200|2475|3265|3586|3667|3784|4841|5290|5296|5468|5594|5747|5894|7248|11132,-13,19,116,0.16379310344827586,13
